violationid,buildingid,boro,zip,inspectiondate,originalcorrectbydate,newcorrectbydate,novdescription,class,currentstatus,currentstatusdate,currentstatusdate 
1005911,142831,BROOKLYN,11218.0,1987-07-23,2016-05-18,1982-08-01,"SECTION 65 M/D LAW  PROVIDE UNDER COMPLETED PERMIT, A PROPER ENCLOSURE FOR THE CENTRAL HEATING PLANT,  AT CELLAR CENTER.",B,VIOLATION CLOSED,2016-06-02,2016-06-02
1005912,142831,BROOKLYN,11218.0,1987-07-23,2016-05-18,1982-08-01,"D26-10.01, 10.05 ADM CODE  REMOVE ALL ENCUMBRANCES CONSISTING OF GARBAGE BOXES WOOD 2 STY PUB HALL BULKHEAD.",B,VIOLATION CLOSED,2016-06-01,2016-06-01
1005913,142831,BROOKLYN,11218.0,1987-07-23,2016-05-18,1982-08-01,D26-19.05 ADM CODE  PROVIDE ADEQUATE LIGHT OF NOT LESS THAN 60 WATTS INCANDESCENT OR EQUIVALENT ILLUMINATION VESTIBULE & 1 STY PUB HALL.,B,VIOLATION CLOSED,2016-05-12,2016-05-12
10000394,52006,BRONX,10467.0,2013-10-09,2013-11-14,2013-12-14,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILE  IN THE BATHROOM  LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION  AT  SOUTH",B,VIOLATION CLOSED,2016-08-14,2016-08-14
10002075,733064,STATEN ISLAND,10306.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE ENTIRE APARTMENT  LOCATED AT APT 3W, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,VIOLATION CLOSED,2017-07-07,2017-07-07
10002079,733064,STATEN ISLAND,10306.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR NORTH WALL AND CEILING  IN THE BATHROOM  LOCATED AT APT 3W, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,NOT COMPLIED WITH,2017-07-07,2017-07-07
10002088,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2005 ADM CODE  REPAIR THE ROOF SO THAT IT WILL NOT LEAK OVER ENTIRE APT  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002089,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WALLS AND CEILING  IN THE ENTIRE APARTMENT  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002090,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION 27-2037, 2038 HMC: PROVIDE A SAFE AND ADEQUATE SUPPLY OF ELECTRIC SERVICE TO THE FIXTURES CEILING  IN THE BATHROOM  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
10002091,932438,QUEENS,11385.0,2013-10-09,2013-11-15,2013-12-15,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... WALLS AND CEILING  IN THE BATHROOM  LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",B,VIOLATION CLOSED,2016-06-16,2016-06-16
